# Time-averaged data for fix fixflux1
# TimeStep v_ptemp f_fix1 f_fix2 f_fix3 f_fix4 f_fix5 f_fix6 f_fix7 f_fix8 f_fix9 v_Jz1 v_Jzk1 v_Jzp1 v_Jzb1 v_Jza1 v_Jzd1 v_Jzi1 v_Jzks1
14800000 295.727 -71.9332 -21.2876 168.743 -16.0529 -14.0954 54.5121 80.8736 -63.7082 77.3261 2.32817e-09 2.43846e-09 1.20873e-09 6.0126e-10 1.38632e-09 1.11896e-09 1.10639e-09 1.10639e-09
14810000 294.883 -75.2117 -2.3043 167.251 -17.4712 10.84 58.221 79.9706 -65.6273 85.8397 2.38228e-09 2.62529e-09 1.24768e-09 6.04523e-10 1.50401e-09 1.2095e-09 1.20218e-09 1.20218e-09
14820000 295.468 -70.7886 -1.69365 174.921 14.6419 2.79159 50.2596 88.5375 -41.4469 71.6593 7.65126e-11 9.95259e-11 1.68678e-10 3.63521e-11 -4.41784e-11 5.41807e-11 5.95115e-11 5.95115e-11
14830000 295.511 -73.6034 -28.1734 171.344 2.84464 -10.4258 63.3861 101.618 -82.1018 76.5188 -3.42274e-10 -2.66576e-10 -5.99269e-11 -1.9083e-10 -1.59991e-10 -1.27631e-10 -1.1567e-10 -1.1567e-10
14840000 296.084 -65.3332 -11.2928 177.918 6.3195 11.4782 56.0161 127.274 -51.7256 82.2683 3.88996e-10 -4.76519e-11 -3.56134e-10 4.58313e-10 2.39198e-10 -2.9474e-11 -3.11863e-11 -3.11863e-11
14850000 296.231 -47.8402 6.04403 196.145 11.3304 -17.6485 61.796 115.119 -53.9861 103.159 -1.0857e-09 -1.31799e-09 -7.52879e-10 -2.5572e-10 -6.11373e-10 -6.34295e-10 -6.21637e-10 -6.21637e-10
14860000 295.295 -73.3923 0.935636 190.155 -8.4823 -10.693 55.0699 112.013 -75.0031 86.7013 -1.55513e-09 -1.57174e-09 -5.92018e-10 -4.54596e-10 -1.03353e-09 -7.13314e-10 -7.02515e-10 -7.02515e-10
14870000 295.646 -57.9257 -12.2883 185.925 -6.73248 10.1164 51.3035 102.187 -71.0429 84.5442 -1.3306e-09 -1.45371e-09 -6.43412e-10 -4.63441e-10 -7.6847e-10 -6.85662e-10 -6.71022e-10 -6.71022e-10
14880000 296.559 -53.6029 2.31938 176.508 21.7981 4.27847 78.1927 101.782 -77.7462 92.2274 -8.7316e-10 -6.60647e-10 -4.45885e-10 -2.77704e-10 -4.09704e-10 -3.07944e-10 -3.07181e-10 -3.07181e-10
14890000 296.819 -67.8214 -27.5405 185.936 0.0424319 -0.871729 65.3924 89.8205 -52.9678 93.8144 4.38734e-10 2.35181e-10 3.18501e-10 9.9692e-11 1.11998e-10 1.08636e-10 1.08819e-10 1.08819e-10
14900000 296.431 -58.7959 7.5153 173.012 26.2195 -35.6106 58.8296 121.56 -40.5843 74.776 -1.1431e-09 -1.50974e-09 -7.13563e-10 -1.12817e-10 -8.53724e-10 -6.86306e-10 -6.83263e-10 -6.83263e-10
14910000 296.453 -43.4926 30.6177 164.329 35.4244 3.26341 79.9149 53.1613 -63.234 118.679 -1.41222e-09 -1.60201e-09 -1.02736e-09 -1.93197e-10 -7.69716e-10 -7.27519e-10 -7.26897e-10 -7.26897e-10
14920000 296.93 -90.2199 -13.7252 191.296 -1.3566 -2.29351 56.792 87.577 -56.2708 79.3614 -2.04017e-10 -4.81706e-10 -2.21346e-10 -2.14448e-11 -2.37457e-10 -2.67923e-10 -2.56465e-10 -2.56465e-10
14930000 297.197 -49.9667 -0.989012 195.073 34.6691 -5.63761 44.2756 66.7463 -72.2988 57.917 1.10388e-10 2.26006e-10 2.2289e-10 -1.25865e-10 1.65256e-10 1.09178e-10 1.21769e-10 1.21769e-10
14940000 296.966 -61.8524 4.44668 174.556 15.9897 -24.203 89.5434 108.569 -58.8775 78.5783 1.25455e-09 1.40287e-09 6.52054e-10 1.73148e-10 1.01675e-09 6.63566e-10 6.63458e-10 6.63458e-10
14950000 297.565 -52.368 -11.7251 188.731 1.75282 -27.4822 58.617 80.7502 -50.4771 101.94 2.47061e-09 2.63963e-09 1.60303e-09 4.5012e-10 1.37698e-09 1.21193e-09 1.20277e-09 1.20277e-09
14960000 297.096 -69.9434 1.45606 168.267 38.2861 -11.7812 83.2512 75.8001 -22.167 93.2228 1.02801e-09 1.07249e-09 7.58863e-10 1.81873e-10 5.4943e-10 5.20035e-10 5.13669e-10 5.13669e-10
14970000 298.214 -36.6897 0.886397 191.172 35.1835 15.4666 60.8166 92.2756 -50.6471 98.2968 1.18656e-09 1.26371e-09 5.36076e-10 2.69871e-10 8.25375e-10 5.99303e-10 5.76942e-10 5.76942e-10
14980000 297.622 -53.5112 -9.03323 206.444 41.0749 11.4523 91.1506 113.971 -62.808 115.185 7.99152e-10 8.52081e-10 3.37724e-10 3.0525e-10 4.4365e-10 4.14132e-10 3.88421e-10 3.88421e-10
