# Time-averaged data for fix fixke
# TimeStep c_kea c_pea
22480000 19014 -715963
22490000 19013.3 -715963
22500000 19043.4 -715936
22510000 19041.9 -715879
22520000 18996.7 -716050
22530000 19013.2 -715976
22540000 19031.9 -716023
22550000 19025.3 -715962
22560000 19016 -715984
22570000 19031.8 -715996
22580000 19008.2 -716021
22590000 19017.9 -715974
22600000 19055.1 -715913
22610000 19062.2 -715846
22620000 19009.9 -715950
22630000 19022.4 -715967
22640000 19029.2 -716000
22650000 19013.5 -716013
22660000 19026.1 -715915
22670000 19024 -715950
22680000 19028.3 -715898
22690000 19029.6 -715950
22700000 19005 -715952
22710000 19042.7 -715944
22720000 19012.8 -716027
22730000 19044.2 -715911
22740000 19015.1 -715949
22750000 19015.9 -715945
22760000 19018.3 -715924
22770000 19012.6 -715900
22780000 19051.6 -715894
22790000 19050.5 -715867
22800000 19051.1 -715941
22810000 19049.5 -715905
22820000 19053.2 -715912
22830000 19051.8 -715941
22840000 19019.8 -715948
22850000 19035.5 -715865
22860000 19006 -715973
22870000 19019.8 -715967
22880000 19045.9 -715926
22890000 19047.3 -715916
22900000 19052.2 -715965
22910000 19028.5 -715992
22920000 19046.9 -715894
22930000 19013.8 -716045
22940000 19060.1 -715998
22950000 19054.5 -715903
22960000 19037.4 -715908
22970000 19011.3 -716001
22980000 19060.5 -715897
22990000 19044.6 -715981
23000000 19044.8 -715949
23010000 19027.5 -715957
23020000 19025 -715895
23030000 19014.4 -715999
23040000 19040.8 -715931
23050000 19023.3 -715986
23060000 19057.4 -715945
23070000 19021.3 -715967
23080000 19047.4 -715974
23090000 19012.7 -715987
23100000 19033.1 -715943
23110000 19020.4 -715991
23120000 19054.3 -715941
23130000 19055.4 -715974
23140000 19034.2 -715885
23150000 19033.9 -715927
23160000 19069.2 -715760
23170000 19043.6 -715895
23180000 19056.9 -715886
23190000 19023.8 -715953
23200000 19025.4 -716002
23210000 19054.9 -715979
23220000 19030 -715979
23230000 19047.1 -715900
23240000 19032.6 -715894
23250000 19049.4 -715910
23260000 19057.4 -715936
23270000 19059.9 -715948
23280000 19029.5 -715989
23290000 19063 -715923
23300000 19049.5 -715957
23310000 19002.8 -715947
23320000 19030.5 -715934
23330000 19067 -715947
23340000 19069.2 -715997
23350000 19058.4 -715913
23360000 19070 -715904
23370000 19026.2 -715977
23380000 19061.4 -715988
23390000 19051.7 -715983
23400000 19044.1 -715937
23410000 19047.9 -715951
23420000 19068.3 -715914
23430000 19016.5 -715984
23440000 19031.2 -715975
23450000 19046.2 -715928
23460000 19035.7 -715947
23470000 19035.3 -715930
23480000 19012.1 -715912
23490000 19022.7 -715928
23500000 19040.5 -715902
23510000 19026.1 -715884
23520000 19034.9 -715918
23530000 18999.8 -716027
23540000 19020.3 -715978
23550000 19080.2 -715921
23560000 19030.1 -715987
23570000 19013.9 -716005
23580000 19054.1 -715946
23590000 19029.7 -715957
23600000 19024.8 -715981
23610000 19025.1 -715930
23620000 19041.9 -715904
23630000 19033.2 -716003
23640000 19046.1 -715960
23650000 19013.5 -716014
23660000 18997 -716026
23670000 19031.2 -715978
23680000 19023.7 -715953
23690000 19040.2 -715934
23700000 19029.2 -716009
23710000 19056.3 -715982
23720000 19043 -715848
23730000 19002.6 -715946
23740000 19044 -715958
23750000 19037.7 -715963
23760000 19010.3 -715962
23770000 19032.6 -715923
23780000 19032.8 -715923
23790000 19053.4 -715964
23800000 19066.3 -715926
23810000 19063 -715939
23820000 19040 -715940
23830000 19042.6 -715934
23840000 19047 -715866
23850000 19062.6 -715877
23860000 19041 -715940
23870000 19063.6 -715922
23880000 19062.7 -715967
23890000 19057.7 -715948
23900000 19014 -715961
23910000 19040.3 -715940
23920000 19032.4 -715974
23930000 19023.4 -715981
23940000 19029.4 -716012
23950000 19016.5 -715970
23960000 19065.6 -715904
23970000 19048.8 -715872
23980000 19069.8 -715905
23990000 19000 -715966
24000000 19045.1 -715997
