# Time-averaged data for fix fixflux1
# TimeStep v_ptemp f_fix1 f_fix2 f_fix3 f_fix4 f_fix5 f_fix6 f_fix7 f_fix8 f_fix9 v_Jz1 v_Jzk1 v_Jzp1 v_Jzb1 v_Jza1 v_Jzd1 v_Jzi1 v_Jzks1
15150000 336.259 -64.0375 -0.69034 -2.84276 62.5027 -32.7101 -71.2433 -71.6036 29.7415 -73.3716 2.79267e-09 2.88361e-09 1.60278e-09 5.95683e-10 1.64716e-09 1.32459e-09 1.31529e-09 1.31529e-09
15160000 336.573 -67.699 -5.35371 -1.36266 66.3361 -27.6747 -38.7233 -49.5633 -20.041 -53.1774 2.18429e-09 2.5707e-09 1.46285e-09 3.87774e-10 1.28552e-09 1.19044e-09 1.17825e-09 1.17825e-09
15170000 335.506 -65.5944 19.6361 -1.46063 51.5213 -20.0412 -31.5732 -92.675 -8.31756 -72.1096 9.33045e-10 7.47448e-10 1.30068e-10 4.08122e-10 6.56132e-10 3.43223e-10 3.37987e-10 3.37987e-10
15180000 336.466 -86.8746 26.9157 39.3662 68.0844 -47.7547 -85.9832 -112.234 22.0707 -88.5491 -2.17799e-10 -6.9648e-11 4.6747e-11 -1.22471e-10 -1.8403e-10 -3.89357e-11 -3.76346e-11 -3.76346e-11
15190000 336.312 -61.8536 0.845691 19.4082 53.718 -18.1692 -57.5902 -57.8602 54.6458 -57.1487 -2.27174e-09 -2.27733e-09 -1.20445e-09 -5.98969e-10 -1.34773e-09 -1.04697e-09 -1.05093e-09 -1.05093e-09
15200000 337.308 -109.318 4.38746 -5.53832 34.8796 -42.4495 -52.5106 -65.3771 55.7075 -59.7854 -3.40005e-09 -4.02879e-09 -2.12549e-09 -7.16503e-10 -2.026e-09 -1.85244e-09 -1.83729e-09 -1.83729e-09
15210000 337.412 -87.9186 5.96137 -10.7329 38.6675 -16.8909 -77.1161 -87.721 33.1515 -96.9554 -2.35335e-09 -3.19699e-09 -1.53239e-09 -3.41296e-10 -1.72093e-09 -1.46471e-09 -1.47574e-09 -1.47574e-09
15220000 336.813 -72.045 -1.70154 -5.75004 28.5873 -35.1974 -83.0329 -93.7359 24.514 -84.7751 -2.90339e-09 -3.33408e-09 -1.66026e-09 -6.65865e-10 -1.81366e-09 -1.51872e-09 -1.5223e-09 -1.5223e-09
15230000 337.667 -85.0121 10.8428 25.7894 68.5458 -24.0678 -54.3552 -78.107 27.938 -49.1368 -2.95867e-09 -2.89696e-09 -1.73834e-09 -6.95433e-10 -1.66259e-09 -1.35089e-09 -1.34639e-09 -1.34639e-09
15240000 336.733 -80.8854 15.237 16.7637 50.0464 -50.9257 -67.4255 -75.3713 24.235 -55.3628 -1.86618e-09 -2.17995e-09 -1.38421e-09 -1.55894e-10 -1.12667e-09 -1.00381e-09 -9.96091e-10 -9.96091e-10
15250000 335.117 -70.3922 -20.5606 18.7895 43.7852 -60.7533 -30.4082 -72.628 23.9769 -23.9633 4.76285e-10 6.07671e-10 4.27547e-10 9.04482e-11 1.43544e-10 2.6446e-10 2.64346e-10 2.64346e-10
15260000 334.954 -90.8246 -16.7562 12.0857 48.7029 -26.4403 -38.2513 -81.8711 59.9656 -43.8604 1.3432e-10 2.61521e-10 -1.48274e-10 1.83566e-10 1.4144e-10 1.15257e-10 1.04798e-10 1.04798e-10
15270000 334.67 -76.3824 -2.10325 -3.10896 53.8705 -44.2336 -20.9539 -79.5691 11.2785 -23.8706 1.19684e-09 1.66956e-09 8.83233e-10 3.83106e-11 8.84624e-10 7.48277e-10 7.56792e-10 7.56792e-10
15280000 335.659 -65.2405 -9.40119 11.5053 59.5055 -26.6885 -63.3479 -57.8924 19.5985 -64.6459 4.05261e-09 4.33213e-09 2.38035e-09 7.86736e-10 2.51656e-09 1.97088e-09 1.98351e-09 1.98351e-09
15290000 335.912 -61.0749 10.0051 -11.4627 35.8141 -27.4749 -91.7799 -94.0091 28.047 -68.2873 5.16274e-09 5.93301e-09 3.3072e-09 9.48903e-10 3.126e-09 2.72208e-09 2.71861e-09 2.71861e-09
15300000 336.981 -77.0785 -29.1404 25.586 32.5163 -21.9302 -55.2701 -88.5485 18.6016 -52.0186 1.57569e-09 1.9789e-09 1.12213e-09 1.99588e-10 1.01777e-09 8.9732e-10 9.10001e-10 9.10001e-10
15310000 337.229 -48.3525 -31.4553 8.13687 51.9649 -45.5095 -23.6138 -97.2815 43.0799 -49.1687 1.09596e-09 9.0239e-10 5.87483e-10 2.90124e-10 5.71235e-10 4.29676e-10 4.21238e-10 4.21238e-10
15320000 336.822 -47.9791 -29.6749 -1.7519 64.7551 -43.6526 -54.829 -100.28 18.8208 -65.5339 6.97797e-10 5.67423e-10 2.73696e-10 3.14104e-10 2.51902e-10 2.41607e-10 2.37734e-10 2.37734e-10
15330000 337.014 -77.8935 -13.7369 -20.3508 71.0565 -67.2324 -69.5535 -98.7105 20.9296 -53.8825 4.46194e-10 1.4827e-10 2.80129e-10 7.50465e-11 1.91826e-10 7.36516e-11 8.06823e-11 8.06823e-11
15340000 337.302 -95.1067 10.6402 -4.31956 87.9553 -39.5574 -52.2672 -103.076 8.58451 -37.2553 3.62721e-11 4.02106e-11 1.96463e-10 -1.82873e-10 7.64265e-11 1.89803e-11 2.82336e-11 2.82336e-11
15350000 338.161 -54.1133 2.4634 4.13259 49.9279 -22.8322 -46.0737 -114.202 14.4041 -32.579 -3.3604e-09 -3.49686e-09 -2.25094e-09 -6.54718e-10 -1.83979e-09 -1.63255e-09 -1.62861e-09 -1.62861e-09
15360000 339.947 -76.0183 9.60796 -19.2655 73.7365 -50.8132 -69.1152 -95.4362 13.4342 -50.202 -4.52438e-09 -5.22616e-09 -2.66486e-09 -1.03883e-09 -2.75705e-09 -2.41835e-09 -2.39522e-09 -2.39522e-09
15370000 338.211 -56.5255 -14.8399 12.1764 61.6491 -36.9148 -62.1274 -79.6319 -9.41235 -62.6554 -1.41708e-09 -1.55563e-09 -5.33431e-10 -5.14186e-10 -9.03047e-10 -7.12866e-10 -7.00519e-10 -7.00519e-10
15380000 337.684 -55.2606 -7.48311 -4.52663 39.1754 -20.0101 -33.7063 -74.0155 21.0013 -31.2687 -8.82464e-11 3.04206e-11 1.21796e-10 8.00398e-11 -3.53797e-10 1.07506e-11 -5.63589e-12 -5.63589e-12
15390000 336.726 -42.9027 -9.88982 0.774308 28.6687 -5.20376 -46.1722 -93.1844 19.419 -41.6394 -6.41228e-10 -7.35309e-10 -5.67908e-10 -1.08865e-10 -2.34716e-10 -3.46168e-10 -3.37935e-10 -3.37935e-10
15400000 335.695 -75.8425 23.4415 0.590185 78.4079 -7.89212 -39.8926 -89.0567 -20.3733 -36.2742 -2.15544e-10 -1.9033e-10 -4.88571e-10 -3.66141e-11 2.2056e-10 -1.0909e-10 -9.71254e-11 -9.71254e-11
15410000 336.402 -56.6089 -18.5475 -6.62771 48.0698 -16.8673 -71.0126 -86.1172 -5.43492 -40.8372 6.73656e-10 5.7566e-10 5.86972e-10 5.52908e-11 2.14945e-10 2.54383e-10 2.53399e-10 2.53399e-10
15420000 337.201 -68.8569 -14.5574 -4.14841 77.3412 -16.7945 -68.2639 -90.3364 1.31081 -69.3804 1.42813e-10 -4.54607e-11 -2.36067e-10 2.09371e-10 9.98084e-11 -1.42752e-11 -3.23592e-11 -3.23592e-11
15430000 338.468 -71.5387 -34.2173 5.57131 39.3893 -30.844 -60.5392 -72.7649 41.6975 -72.1328 2.42273e-09 2.8421e-09 1.6588e-09 4.23551e-10 1.38817e-09 1.30308e-09 1.29824e-09 1.29824e-09
15440000 339.393 -65.9287 21.9832 -22.2019 68.5164 -35.516 -70.2905 -75.9482 24.0348 -76.2943 3.07e-09 3.80603e-09 2.29596e-09 3.02689e-10 1.88683e-09 1.72919e-09 1.73768e-09 1.73768e-09
15450000 339.453 -62.9507 20.2766 -45.4689 38.6404 -79.6123 -79.8999 -93.5912 -4.13843 -78.0898 9.07635e-10 1.38988e-09 6.88601e-10 1.81833e-11 6.9366e-10 6.20281e-10 6.25742e-10 6.25742e-10
15460000 339.077 -60.3334 -19.6719 25.6144 24.925 -52.6726 -53.3534 -120.688 44.1712 -63.1573 -1.14686e-09 -1.44216e-09 -1.00582e-09 -3.19067e-11 -6.76913e-10 -6.6117e-10 -6.67776e-10 -6.67776e-10
15470000 339.172 -88.3478 -21.1381 17.0201 51.404 -3.06951 -48.9045 -104.422 -8.74669 -55.4835 -1.80693e-09 -2.25027e-09 -1.31996e-09 -4.15337e-10 -9.22556e-10 -1.04959e-09 -1.0377e-09 -1.0377e-09
15480000 339.477 -50.5554 -14.7497 -48.8556 58.147 -51.1045 -59.2822 -115.964 27.8111 -59.7386 7.96292e-10 8.23911e-10 3.64671e-10 2.72563e-10 3.71873e-10 3.53966e-10 3.47673e-10 3.47673e-10
15490000 339.287 -48.4654 -14.2979 11.2372 61.2076 -53.2391 -53.8982 -99.3173 -6.25615 -50.1763 2.67413e-10 3.215e-10 3.59996e-10 6.75784e-11 -6.99778e-11 1.42118e-10 1.3845e-10 1.3845e-10
