# Time-averaged data for fix fixflux1
# TimeStep v_Jz1 v_Jzk1 v_Jzp1 v_Jzb1 v_Jza1 v_Jzd1
713000 -1.77965e-06 -1.98235e-06 -1.43565e-06 5.53353e-07 -5.76154e-07 -5.55398e-07
714000 -2.47688e-06 -1.73722e-06 -1.16272e-06 -5.34215e-07 -6.79613e-07 -4.08384e-07
715000 1.00104e-06 1.18261e-06 1.13606e-06 -4.75175e-07 2.53478e-07 4.53114e-07
716000 9.63696e-07 1.41049e-06 1.16719e-07 -7.77275e-08 5.81675e-07 4.69643e-07
717000 -3.58729e-07 9.97285e-07 7.46098e-07 -8.37258e-07 -2.27201e-07 1.57638e-07
718000 -4.75179e-07 -3.8632e-07 -2.92942e-07 -1.43033e-07 -1.53129e-07 -4.18314e-08
719000 -1.23155e-06 6.83879e-07 -3.79532e-07 -7.21443e-07 -1.46898e-07 2.38516e-07
720000 -9.80485e-07 6.08612e-07 7.91233e-08 -1.2284e-06 8.84603e-08 9.14744e-08
721000 -2.73682e-06 -1.15679e-06 -8.66312e-07 -9.61236e-07 -8.39028e-07 -3.05001e-07
722000 -1.08324e-06 -1.04637e-06 -6.16949e-07 3.50744e-07 -5.92858e-07 -3.14519e-07
723000 6.50571e-07 4.87932e-07 -1.69985e-07 3.9106e-07 4.35154e-07 2.63384e-07
724000 2.44757e-06 1.82767e-06 1.60303e-06 7.59906e-08 4.46435e-07 6.08722e-07
725000 3.0876e-07 1.95144e-06 8.61657e-07 -1.22652e-06 4.00579e-07 5.27762e-07
726000 -1.59407e-07 9.03237e-07 1.18017e-06 -1.2665e-06 -1.75951e-07 4.01517e-07
727000 -2.54221e-06 -1.94369e-06 -1.45677e-06 -5.732e-08 -8.3597e-07 -5.73267e-07
728000 -2.07224e-06 -1.52445e-06 -9.02837e-07 -3.27236e-08 -8.18423e-07 -5.3451e-07
729000 -9.22394e-07 -8.16862e-07 -8.22399e-07 2.62474e-07 -2.60924e-07 -1.95617e-07
730000 -6.46777e-07 1.76878e-07 6.92312e-08 -2.73564e-07 -2.75972e-07 7.79524e-08
731000 2.44804e-07 1.48429e-06 6.16576e-07 -9.01936e-07 2.40944e-07 3.85026e-07
732000 1.11788e-06 1.62234e-06 4.78677e-07 -2.85382e-07 8.42206e-07 3.51675e-07
733000 -1.58988e-06 -9.71678e-07 -6.74628e-07 -9.5653e-08 -6.27856e-07 -1.84619e-07
734000 -2.8843e-06 -1.86656e-06 -1.20538e-06 -4.05016e-07 -1.07788e-06 -6.31012e-07
735000 -6.31404e-07 -6.15426e-07 -2.91249e-08 -2.83623e-07 -3.05796e-07 -1.73515e-07
736000 -1.3591e-06 -9.67093e-07 -1.37025e-06 -1.70259e-07 -5.96622e-08 -2.43119e-07
737000 -9.45449e-07 -2.65628e-07 -2.2158e-07 -2.69105e-07 -2.14217e-08 -3.64684e-08
738000 -1.31614e-06 1.77525e-06 3.33349e-07 -1.81633e-06 2.65698e-07 5.40181e-07
739000 8.13542e-07 1.75743e-06 1.11796e-06 -7.63432e-07 2.70344e-07 5.1469e-07
740000 -1.05982e-07 9.16051e-07 8.66906e-07 -1.25482e-06 1.30815e-07 1.87079e-07
741000 -2.61315e-06 -2.26816e-06 -1.94815e-06 -7.5055e-08 -4.50989e-07 -5.77682e-07
742000 -1.7344e-06 -2.22032e-06 -1.77694e-06 6.45023e-07 -4.90885e-07 -6.78537e-07
743000 1.47241e-06 6.02706e-07 1.24353e-06 2.67029e-07 -9.90619e-08 2.20764e-08
744000 2.63326e-06 2.93229e-06 1.6464e-06 -4.82396e-07 1.08985e-06 7.68779e-07
745000 -5.74968e-08 1.98052e-06 5.6342e-07 -1.33539e-06 5.04025e-07 6.04357e-07
746000 -1.78235e-06 -6.95959e-07 -1.93268e-07 -4.65002e-07 -8.91351e-07 -2.74473e-07
747000 -3.73728e-07 3.94784e-07 4.86788e-07 -7.36854e-07 -1.77214e-07 6.81718e-08
748000 -6.22254e-07 3.62525e-07 5.99611e-08 -6.97173e-07 -1.3339e-07 1.99572e-07
749000 2.36771e-07 1.75005e-07 -1.70219e-08 2.96006e-07 -1.70752e-07 -1.93617e-08
750000 -1.78732e-06 -3.32158e-07 -9.73572e-07 -9.93986e-07 7.93339e-08 -6.46525e-08
751000 -8.07177e-07 -9.70019e-07 -2.41441e-07 5.04121e-08 -4.4917e-07 -3.22563e-07
752000 -9.98456e-07 4.39342e-08 -2.01533e-07 -5.12443e-07 -2.27373e-07 -1.31095e-09
753000 -8.04854e-07 -5.5535e-07 -6.78315e-07 -1.72159e-07 1.74878e-08 -1.93292e-07
