# Time-averaged data for fix fixke
# TimeStep c_kea c_pea
1070000 71422.8 -23746.1
1071000 71407.7 -23752.9
1072000 71368.1 -23789.2
1073000 71461.9 -23681.1
1074000 71396.3 -23719.5
1075000 71417.4 -23723.5
1076000 71345.6 -23671.3
1077000 71403 -23787.3
1078000 71371.4 -23867.7
1079000 71501.3 -23711.2
1080000 71374.9 -23770.9
1081000 71364.3 -23846
1082000 71475.3 -23674.8
1083000 71548 -23631.2
1084000 71589 -23586.4
1085000 71582.3 -23541.2
1086000 71467.3 -23600.9
1087000 71505.3 -23588.8
1088000 71523.1 -23457
1089000 71486.9 -23621
1090000 71501 -23609.4
1091000 71416.5 -23661.5
1092000 71472.5 -23722
1093000 71532 -23578.2
1094000 71465.9 -23690.6
1095000 71481.6 -23670
1096000 71380.7 -23721.8
1097000 71356.9 -23699.1
1098000 71380.8 -23687.3
1099000 71435.6 -23551.2
1100000 71347.6 -23715.7
1101000 71418.4 -23569.8
1102000 71538.1 -23521.9
1103000 71509.8 -23600.5
1104000 71457.9 -23617.6
1105000 71436.3 -23476.9
1106000 71474.2 -23402
1107000 71396.1 -23552.6
1108000 71485.8 -23561.3
1109000 71392.3 -23564.7
1110000 71483.6 -23588.3
1111000 71473.3 -23540.2
1112000 71492.4 -23517
1113000 71463.3 -23691.8
1114000 71411.4 -23698.7
1115000 71410.7 -23539.3
1116000 71431.4 -23503.1
1117000 71430.5 -23481.4
1118000 71479.6 -23484.3
1119000 71562 -23447.2
1120000 71532.4 -23373.7
1121000 71476.5 -23497.3
1122000 71526.1 -23546.7
1123000 71470 -23429.5
1124000 71288.1 -23597.2
1125000 71316.1 -23711.2
1126000 71228.9 -23818
1127000 71215 -23724.8
1128000 71201.8 -23757.5
1129000 71347.1 -23734
1130000 71402.3 -23614.2
1131000 71308.1 -23719.4
1132000 71336.2 -23700.3
1133000 71369.3 -23658.6
1134000 71342.3 -23640
1135000 71426.4 -23601.2
1136000 71386.9 -23568.3
1137000 71365.6 -23583.4
1138000 71338.8 -23600.7
1139000 71397.5 -23579.3
1140000 71378.4 -23483.3
1141000 71322.4 -23660.7
1142000 71299.9 -23637.1
1143000 71350.7 -23648
1144000 71302.9 -23661.4
1145000 71435.9 -23601.9
1146000 71522.4 -23575.1
1147000 71529 -23573.4
1148000 71470 -23632.2
1149000 71501.2 -23598.4
1150000 71483.2 -23546.5
1151000 71501.7 -23512.3
1152000 71525.5 -23390.8
1153000 71539.4 -23461
1154000 71494.9 -23463.1
1155000 71490.9 -23477.2
1156000 71588.8 -23366.9
1157000 71653 -23233.7
1158000 71593.4 -23265.2
1159000 71570 -23362.6
1160000 71539.7 -23319
1161000 71702 -23274.9
1162000 71705 -23248.6
1163000 71713.4 -23218.6
1164000 71712.8 -23280
1165000 71676.2 -23295.7
1166000 71607.4 -23400.3
1167000 71689.2 -23296.2
1168000 71626.6 -23424.7
1169000 71691.1 -23364.4
1170000 71554.9 -23392.3
1171000 71593.5 -23437.2
1172000 71601.3 -23314
1173000 71627 -23258.1
1174000 71624.8 -23269.8
1175000 71698 -23322.9
1176000 71642.5 -23230.9
1177000 71471.7 -23314.1
1178000 71575.4 -23319.9
1179000 71631.7 -23305.7
1180000 71554.7 -23385.3
1181000 71509.5 -23424
1182000 71537.5 -23387.2
1183000 71570.3 -23378.2
1184000 71553.6 -23364.3
1185000 71499 -23470.5
1186000 71592.2 -23450.2
1187000 71578.1 -23367.5
1188000 71564.7 -23404
1189000 71567.5 -23365.9
1190000 71476.7 -23468.8
1191000 71540.6 -23437.9
1192000 71545.4 -23429
1193000 71533.7 -23445.1
1194000 71644.7 -23251.3
1195000 71625.1 -23256.9
1196000 71504.8 -23295.2
1197000 71673.4 -23272
1198000 71641.4 -23193.2
1199000 71521.3 -23361.9
1200000 71584 -23344.7
1201000 71623.5 -23324
1202000 71555.5 -23393.5
1203000 71540.4 -23497
1204000 71549 -23372
1205000 71543.2 -23398.1
1206000 71572.9 -23356.8
1207000 71515.9 -23433.6
1208000 71491.4 -23381.8
1209000 71519.6 -23447.8
1210000 71511.8 -23499.3
1211000 71566.5 -23431
1212000 71500.3 -23403.3
1213000 71595.1 -23376.1
1214000 71680.3 -23328.6
1215000 71613.2 -23311
1216000 71663.8 -23387.4
1217000 71541.4 -23292.6
1218000 71468.3 -23437.2
1219000 71288.8 -23512.1
1220000 71353.3 -23464
1221000 71297 -23484.6
1222000 71372.7 -23464
1223000 71411.9 -23433.6
1224000 71423.6 -23463.1
1225000 71390.9 -23646.7
1226000 71300.5 -23630.3
1227000 71376.9 -23581.5
1228000 71300.3 -23663.3
1229000 71385 -23617.1
1230000 71450.4 -23598.7
1231000 71464.4 -23414.3
1232000 71420.6 -23407.4
1233000 71489.9 -23393.9
1234000 71498.9 -23376
1235000 71330.7 -23541.9
1236000 71448.6 -23330.6
1237000 71499.7 -23365
1238000 71444 -23439.6
1239000 71487.5 -23482.1
1240000 71509.9 -23449.9
1241000 71472.1 -23641.4
1242000 71508.7 -23391.9
1243000 71495.7 -23364.5
1244000 71545.6 -23464.2
1245000 71560.9 -23357.7
1246000 71630.8 -23244.9
1247000 71636.7 -23228.3
1248000 71511.2 -23297.5
1249000 71499.8 -23409.5
1250000 71473.8 -23467.4
1251000 71476.8 -23422.8
1252000 71571.5 -23427.2
1253000 71491.4 -23465.7
1254000 71408.9 -23447.1
1255000 71460.1 -23376.3
1256000 71440.5 -23342.3
1257000 71478.5 -23431.3
1258000 71466.4 -23455.9
1259000 71372.1 -23608
1260000 71291.1 -23565.3
1261000 71445.3 -23520.9
1262000 71355.4 -23599.3
1263000 71344.5 -23607.8
1264000 71444.9 -23506.3
1265000 71475.3 -23419.6
1266000 71497.6 -23365.4
1267000 71468.1 -23290.6
1268000 71525.4 -23316.5
1269000 71550.8 -23197.6
1270000 71589.1 -23263.1
1271000 71609.9 -23139.5
1272000 71606.7 -23163.9
1273000 71600.4 -23216.3
1274000 71590.8 -23174
1275000 71488.6 -23267.8
1276000 71586.6 -23269
1277000 71621.8 -23252.9
1278000 71677.1 -23172.7
1279000 71625 -23224.2
1280000 71803.6 -22918.7
1281000 71606.5 -23074.6
1282000 71620.1 -23113.1
1283000 71687.3 -23062.4
1284000 71763.7 -23093.5
1285000 71715 -23018.2
1286000 71696.5 -23157.6
1287000 71628.5 -23192.1
1288000 71584.3 -23202.6
1289000 71539.3 -23256
1290000 71509.8 -23325
1291000 71539.3 -23179.7
1292000 71506.3 -23281.4
1293000 71426.3 -23353
1294000 71523.1 -23347.8
1295000 71478.3 -23393.4
1296000 71555.6 -23187.6
1297000 71570.3 -23302.1
1298000 71667.6 -23290.4
1299000 71620.2 -23246
1300000 71615.1 -23262.6
1301000 71664.7 -23313.4
1302000 71575.1 -23348
1303000 71559.5 -23402.8
1304000 71585.1 -23317.9
1305000 71449.8 -23376.1
1306000 71543.2 -23441.7
1307000 71581.7 -23286.7
1308000 71567.7 -23192.3
1309000 71568.7 -23213
1310000 71719 -23051.3
1311000 71601.1 -23114.4
1312000 71571.2 -23180.9
1313000 71556.6 -23236
1314000 71569.9 -23288.1
1315000 71529.5 -23437.7
1316000 71527.1 -23301.7
1317000 71446.2 -23361.4
1318000 71512.9 -23311.4
1319000 71580.6 -23255.5
1320000 71532.1 -23270.3
1321000 71489.4 -23316.4
1322000 71385.2 -23476.5
1323000 71339.1 -23639.8
1324000 71315.2 -23721.3
1325000 71342.5 -23542.3
1326000 71378.6 -23509
1327000 71362.5 -23541.3
1328000 71541.3 -23384.7
1329000 71447.8 -23500.2
1330000 71399.7 -23496.2
1331000 71478.6 -23395.7
1332000 71369.7 -23539.4
1333000 71345.2 -23549.7
1334000 71355.2 -23530.9
1335000 71426.8 -23500.9
1336000 71427.7 -23424.2
1337000 71360.2 -23544.9
1338000 71435.1 -23497.7
1339000 71469.1 -23499
1340000 71318.7 -23595.9
1341000 71317 -23695.5
1342000 71399.4 -23595.6
1343000 71349.1 -23667.9
1344000 71392.8 -23708.3
1345000 71321.3 -23743.2
1346000 71476 -23580.6
1347000 71488.1 -23543.2
1348000 71543 -23477.2
1349000 71475.3 -23528.9
1350000 71413.3 -23578.8
1351000 71510.1 -23548.3
1352000 71470.1 -23532
1353000 71515.2 -23524
1354000 71428.3 -23532.8
1355000 71404.9 -23629.7
1356000 71356 -23673.8
1357000 71391.4 -23722.4
1358000 71211.4 -23868.3
1359000 71233.2 -23835.9
1360000 71257.8 -23804.4
1361000 71316.6 -23825.1
1362000 71295.9 -23787.4
1363000 71269.8 -23802.7
1364000 71352 -23779
1365000 71397.3 -23767.4
1366000 71390.9 -23688
1367000 71433.4 -23801.3
1368000 71258 -23778
1369000 71369.8 -23761.1
1370000 71430.4 -23628.5
1371000 71501 -23597.8
1372000 71387.5 -23752
1373000 71318.1 -23745
1374000 71300.7 -23811.8
1375000 71261.4 -23757
1376000 71211.4 -23772.6
1377000 71270.5 -23755.1
1378000 71226 -23797.3
1379000 71159.2 -23870.2
1380000 71131.4 -23939.4
1381000 71198.4 -23851.2
1382000 71334.6 -23670.5
1383000 71314.1 -23534.1
1384000 71329.3 -23621.7
1385000 71348.9 -23690.6
1386000 71383.9 -23634.8
1387000 71184.7 -23727.3
1388000 71303 -23690.8
1389000 71303.6 -23697
1390000 71235.7 -23726.8
1391000 71248.8 -23727.7
1392000 71255.6 -23811.7
1393000 71241.1 -23781.4
1394000 71367.8 -23604.8
1395000 71330.6 -23604.7
1396000 71421.7 -23606.2
1397000 71429.8 -23487
1398000 71461 -23504.1
1399000 71366.9 -23512.3
1400000 71240 -23546.5
1401000 71356.4 -23566.6
1402000 71321.5 -23546.6
1403000 71458.5 -23476.9
1404000 71448.8 -23436.3
1405000 71497.5 -23422.9
1406000 71530.3 -23366
1407000 71553.6 -23331.2
1408000 71468.6 -23408.4
